id;parroquia;id_canton
403;NUEVO SANTA ROSA;65
404;PUERTO JELÍ;65
405;SAN ANTONIO;65
406;SANTA ROSA;65
407;TORATA;65
408;VICTORIA;65
409;ABAÑÍN;66
410;ARCAPAMBA;66
411;GUANAZÁN;66
412;GUIZHAGUIÑA;66
413;HUERTAS;66
414;MALVAS;66
415;MULUNCAY GRANDE;66
416;SALVIAS;66
417;SINSAO;66
418;ZARUMA;66
419;ATACAMES;67
420;LA UNIÓN;67
421;SÚA (CAB. EN LA BOCANA);67
422;TONCHIGÜE;67
423;TONSUPA;67
424;ANCHAYACU;68
425;ATAHUALPA (CAB. EN CAMARONES);68
426;BORBÓN;68
427;COLÓN ELOY DEL MARÍA;68
428;LA TOLA;68
429;LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO);68
430;MALDONADO;68
431;PAMPANAL DE BOLÍVAR;68
432;SAN FRANCISCO DE ONZOLE;68
433;SAN JOSÉ DE CAYAPAS;68
434;SANTO DOMINGO DE ONZOLE;68
435;SELVA ALEGRE;68
436;TELEMBÍ;68
437;TIMBIRÉ;68
438;VALDEZ (LIMONES);68
439;5 DE AGOSTO;69
440;ATACAMES;69
441;BARTOLOMÉ RUIZ (CÉSAR FRANCO CARRIÓN);69
442;CAMARONES (CAB. EN SAN VICENTE);69
443;CHINCA;69
444;CHONTADURO;69
445;CHUMUNDÉ;69
446;CRNEL. CARLOS CONCHA TORRES (CAB.EN HUELE);69
447;ESMERALDAS;69
448;LA UNIÓN;69
449;LAGARTO;69
450;LUIS TELLO (LAS PALMAS);69
451;MAJUA;69
452;MONTALVO (CAB. EN HORQUETA);69
453;RÍO VERDE;69
454;ROCAFUERTE;69
455;SAN MATEO;69
456;SIMÓN PLATA TORRES;69
457;SÚA (CAB. EN LA BOCANA);69
458;TABIAZO;69
459;TACHINA;69
460;TONCHIGÜE;69
461;VUELTA LARGA;69
462;LA CONCORDIA;70
463;LA VILLEGAS;70
464;MONTERREY;70
465;PLAN PILOTO;70
466;BOLÍVAR;71
467;DAULE;71
468;GALERA;71
469;MUISNE;71
470;QUINGUE (OLMEDO PERDOMO FRANCO);71
471;SALIMA;71
472;SAN FRANCISCO;71
473;SAN GREGORIO;71
474;SAN JOSÉ DE CHAMANGA (CAB.EN CHAMANGA);71
475;CHURA (CHANCAMA) (CAB. EN EL YERBERO);72
476;CUBE;72
477;LA UNIÓN;72
478;MALIMPIA;72
479;ROSA ZÁRATE (QUININDÉ);72
480;VICHE;72
481;CHONTADURO;73
482;CHUMUNDÉ;73
483;LAGARTO;73
484;MONTALVO (CAB. EN HORQUETA);73
485;RIOVERDE;73
486;ROCAFUERTE;73
487;5 DE JUNIO (CAB. EN UIMBI);74
488;ALTO TAMBO (CAB. EN GUADUAL);74
489;ANCÓN (PICHANGAL) (CAB. EN PALMA REAL);74
490;CALDERÓN;74
491;CARONDELET;74
492;CONCEPCIÓN;74
493;MATAJE (CAB. EN SANTANDER);74
494;SAN JAVIER DE CACHAVÍ (CAB. EN SAN JAVIER);74
495;SAN LORENZO;74
496;SANTA RITA;74
497;TAMBILLO;74
498;TULULBÍ (CAB. EN RICAURTE);74
499;URBINA;74
500;PUERTO VILLAMIL;75
501;TOMÁS DE BERLANGA (SANTO TOMÁS);75
502;A SANTA MARÍA (FLOREANA) (CAB. EN PTO. VELASCO IBARR;76
503;EL PROGRESO;76
504;PUERTO BAQUERIZO MORENO;76
505;BELLAVISTA;77
506;PUERTO AYORA;77
507;SANTA ROSA (INCLUYE LA ISLA BALTRA);77
508;BALAO;78
509;BALZAR;79
510;COLIMES;80
511;SAN JACINTO;80
512;BANIFE;81
513;DAULE;81
514;EMILIANO CAICEDO MARCOS;81
515;ISIDRO AYORA (SOLEDAD);81
516;JUAN BAUTISTA AGUIRRE (LOS TINTOS);81
517;LA AURORA (SATÉLITE);81
518;LAUREL;81
519;LIMONAL;81
520;LOMAS DE SARGENTILLO;81
521;LOS LOJAS (ENRIQUE BAQUERIZO MORENO);81
522;MAGRO;81
523;PADRE JUAN BAUTISTA AGUIRRE;81
524;PIEDRAHITA (NOBOL);81
525;SANTA CLARA;81
526;VICENTE PIEDRAHITA;81
527;EL RECREO;82
528;ELOY ALFARO (DURÁN);82
529;EL ROSARIO;83
530;GUAYAS (PUEBLO NUEVO);83
531;VELASCO IBARRA (EL EMPALME);83
532;EL TRIUNFO;84
533;GENERAL ANTONIO ELIZALDE (BUCAY);85
534;AYACUCHO;86
535;BOLÍVAR (SAGRARIO);86
536;CARBO (CONCEPCIÓN);86
537;CHONGÓN;86
538;FEBRES CORDERO;86
539;GARCÍA MORENO;86
540;GUAYAQUIL;86
541;JUAN GÓMEZ RENDÓN (PROGRESO);86
542;LETAMENDI;86
543;MORRO;86
544;NUEVE DE OCTUBRE;86
545;OLMEDO (SAN ALEJO);86
546;PASCUALES;86
547;PLAYAS (GRAL. VILLAMIL);86
548;POSORJA;86
549;PUNÁ;86
550;ROCA;86
551;ROCAFUERTE;86
552;SUCRE;86
553;TARQUI;86
554;TENGUEL;86
